versao,bloco,p,r,eligible,d1,Delta,U1,U2,n_termos,abs_c,theta,err_num_est,S_abs,theta_rel,margem,margem_rel,B_rel_sup,orcamento_rel,orcamento_rel_com_err
m4-v1,b01,47,1,True,1,0.5,6.0,6.5,45,0.17876338822837304,-1.9940292571178493e-12,1.918201093000597e-20,1.9181996113073122e-11,-1.1154572963063586e-11,1.7876139419911592e-07,9.99988845427037e-07,0.001322978803,0.001322978814154573,0.0013229788141545732
m4-v1,b01,7,2,False,1,0.5,6.0,6.5,45,0.08848606258138285,2.822516768841122e-12,2.1068782622216724e-20,2.1068766300645993e-11,3.189786828004899e-11,8.848324006461401e-08,9.999681021317198e-07,0.002361992599,0.0023619926308978685,0.0023619926308978685
m4-v1,b01,53,1,True,1,0.5,6.0,6.5,45,0.1735939685443537,-1.3916609377080192e-12,1.9508577837762196e-20,1.9508560417214037e-11,-8.01675858543695e-12,1.7359257688341599e-07,9.999919832414145e-07,0.001395497047,0.0013954970550167584,0.0013954970550167586
m4-v1,b01,59,1,False,1,0.5,6.0,6.5,45,0.16897485378921837,-1.0472120107905867e-12,2.014940052823106e-20,2.0149380446959774e-11,-6.1974429171389835e-12,1.6897380657720756e-07,9.99993802557083e-07,0.001082141889,0.0010821418951974429,0.0010821418951974429
m4-v1,b01,61,1,False,1,0.5,6.0,6.5,45,0.16754032791775322,1.3443670751675335e-12,2.2112415346030898e-20,2.2112396131368365e-11,8.024140168971695e-12,1.6753898355067803e-07,9.99991975859831e-07,0.001446645132,0.0014466451400241402,0.0014466451400241404
m4-v1,b01,2,6,False,1,0.5,6.0,6.5,45,0.02757945001908145,3.739858305704412e-12,3.1672822076378446e-20,3.167279989480135e-11,1.3560307776684848e-10,2.7575710160775742e-08,9.998643969222331e-07,0.007587460233,0.007587460368603078,0.007587460368603079
m4-v1,b01,67,1,False,1,0.5,6.0,6.5,45,0.16351100147025147,1.618864202504482e-12,2.6704274816816098e-20,2.6704251744114357e-11,9.900643919663176e-12,1.6350938260604894e-07,9.999900993560803e-07,0.00143978068,0.0014397806899006439,0.001439780689900644
m4-v1,b01,71,1,False,1,0.5,6.0,6.5,45,0.16102884271275783,-1.971594262456858e-12,3.1930998419926794e-20,3.1930974440433487e-11,-1.2243733664370765e-11,1.6102687111849537e-07,9.999877562663355e-07,0.001295697017,0.0012956970292437337,0.001295697029243734
m4-v1,b01,73,1,False,1,0.5,6.0,6.5,45,0.1598425863444375,-3.4521291613923822e-12,2.3542817943955094e-20,2.3542799186451257e-11,-2.1597055205009927e-11,1.5983913421527609e-07,9.99978402944795e-07,0.001330119876,0.0013301198975970553,0.0013301198975970553
m4-v1,b01,79,1,False,1,0.5,6.0,6.5,45,0.15648155106679665,-9.055888329531937e-13,3.078052745606711e-20,3.078049884051822e-11,-5.787192335322831e-12,1.564806454779637e-07,9.999942128076647e-07,0.001234332913,0.0012343329187871923,0.0012343329187871925
