n,unfolded_x,spacing_s
928,927.59207433,0.84893726
929,928.44101159,0.85195354
930,929.29296513,1.05325902
931,930.34622415,1.28291763
932,931.62914178,0.63153277
933,932.26067455,1.23123656
934,933.49191111,1.32140581
935,934.81331692,1.12824931
936,935.94156623,0.21721384
937,936.15878006,1.52746857
938,937.68624864,0.42528951
939,938.11153814,0.91255602
940,939.02409416,1.88971196
941,940.91380612,0.78156864
942,941.69537476,1.08829968
943,942.78367444,0.34498187
944,943.12865631,1.53410911
945,944.66276542,0.79127990
946,945.45404533,0.99759283
947,946.45163816,0.58901920
948,947.04065736,1.65418377
949,948.69484113,0.85587841
950,949.55071954,1.39479126
951,950.94551080,0.73367729
952,951.67918809,0.59719802
953,952.27638611,0.78546632
954,953.06185243,1.37938275
955,954.44123518,1.05044409
956,955.49167927,1.16258318
957,956.65426245,1.10264282
958,957.75690527,0.61117740
959,958.36808267,1.29995144
960,959.66803412,0.81617081
961,960.48420492,0.98411695
962,961.46832187,0.73706617
963,962.20538804,0.87137164
964,963.07675968,2.14978759
965,965.22654727,0.39929217
966,965.62583944,0.79420293
967,966.42004237,1.09155716
968,967.51159953,0.81721350
969,968.32881303,0.98466744
970,969.31348048,1.04711320
971,970.36059368,1.42824739
972,971.78884107,0.51095911
973,972.29980017,1.41278775
974,973.71258792,0.97933364
975,974.69192156,0.98640284
976,975.67832440,0.67976652
977,976.35809092,0.67858851
978,977.03667943,1.24735700
979,978.28403643,1.42751410
980,979.71155053,1.10996037
981,980.82151091,0.86288354
982,981.68439444,0.86191891
983,982.54631335,0.50549882
984,983.05181217,1.83948428
985,984.89129645,0.35239625
986,985.24369270,0.88885941
987,986.13255210,1.42984179
988,987.56239389,1.22128433
989,988.78367822,0.90537895
990,989.68905717,1.02026274
991,990.70931991,0.60663813
992,991.31595804,1.06176793
993,992.37772597,0.61064163
